id,name,address
ChIJJyybR4xx5kcRiTv3fACK9Y0,Armani Ristorante,"7 place du Québec, Paris, 75006, France"
ChIJVVUpCyBw5kcRViL9FZ0mEPc,Arnaud Nicolas,"46 avenue de la Bourdonnais, Paris, 75007, France"
ChIJQ-oAFypw5kcR2T9NszPcZO4,Arpège,"84 rue de Varenne, Paris, 75007, France"
ChIJ_QxhRv1v5kcRyxeqcySoeBQ,Astrance,"32 rue de Longchamp, Paris, 75016, France"
ChIJlTto-ONx5kcR9dX0YOF01lk,Atelier Maître Albert,"1 rue Maître-Albert, Paris, 75005, France"
ChIJ9bTpXGly5kcR8tpIMWDJXXM,Au Trou Gascon,"40 rue Taine, Paris, 75012, France"
ChIJD5opUxpu5kcRXidM9DzLh_Q,Auberge Nicolas Flamel,"51 rue de Montmorency, Paris, 75003, France"
ChIJefB79Qhu5kcR8JGnXLP6u0I,Auberge Pyrénées Cévennes,"106 rue de la Folie-Méricourt, Paris, 75011, France"
ChIJd5iHBSpw5kcR7DW8kyCpX6g,Auguste,"54 rue de Bourgogne, Paris, 75007, France"
ChIJdznawgly5kcRxXTXI8Zkpvk,Automne,"11 rue Richard-Lenoir, Paris, 75011, France"
ChIJe93J-PVv5kcRw8jez7VCZk0,Aux 2 K,"5 rue Louise-Émilie-de-la-Tour-d'Auvergne, Paris, 75009, France"
ChIJQRZQ6Dtu5kcR-0r2malRDQw,Aux Lyonnais,"32 rue Saint-Marc, Paris, 75002, France"
ChIJsVtS27Zx5kcRNPqIHyz4o-o,Aux Plumes,"45 rue Boulard, Paris, 75014, France"
ChIJweL4Iddx5kcR0kJEsE0MU1U,Aux Prés,"27 rue du Dragon, Paris, 75006, France"
ChIJ_9CTsKxv5kcRS_4OZuACC40,BRU,"28 rue Jean-Baptiste-Pigalle, Paris, 75009, France"
ChIJ4x6GRPJx5kcRYEiThcBqZM4,Baca'v par Gilles Choukroun,"6 rue des Fossés-Saint-Marcel, Paris, 75005, France"
ChIJyTq6TQNu5kcR54c0callVg0,Baffo,"12 rue Pecquay, Paris, 75004, France"
ChIJ_78oYuRx5kcR4eAyZp92YKs,Baieta,"5 rue de Pontoise, Paris, 75005, France"
ChIJh6iPsZNv5kcRbwL5NqrZtqA,Bellefeuille - Saint James Paris,"5 place du Chancelier-Adenauer, Paris, 75116, France"
ChIJQ0bNfR5u5kcR9Z0i41-E7sg,Benoit,"20 rue Saint-Martin, Paris, 75004, France"
ChIJ35ar7nJw5kcRR2-Jh-Zj4Bs,Beurre Noisette,"68 rue Vasco-de-Gama, Paris, 75015, France"
ChIJsRa6hQdu5kcRjccVObllC1Q,Biondi,"118 rue Amelot, Paris, 75011, France"
ChIJB9SzTgZx5kcRp7lN4whrb3U,Biscotte,"22 rue Desnouettes, Paris, 75015, France"
ChIJBZelTGpz5kcRukAhjolGzIk,Bistro S,"7 rue Saint-Nicolas, Paris, 75012, France"
ChIJjRK57rVx5kcRGrW2O9Bq6XQ,Bistrot Augustin,"79 rue Daguerre, Paris, 75014, France"
ChIJzX94Mqpv5kcR789tzbYvWzc,Bistrot Instinct,"19 rue de Picardie, Paris, 75003, France"
ChIJM8DKkMZv5kcRe2LMETsCb4w,Bistrot Marloe,"12 rue du Commandant-Rivière, Paris, 75008, France"
ChIJnYPdmaZz5kcR80ulUF3wtjQ,Bistrot Paul Bert,"18 rue Paul-Bert, Paris, 75011, France"
ChIJF6AjH95v5kcRNgU_zgW_fd0,Bistrot des Fables,"139 rue Saint-Dominique, Paris, 75007, France"
ChIJUWpN50tw5kcRxFHi8fOzbi4,Bistrotters,"9 rue Decrès, Paris, 75014, France"
ChIJ-We0YUpv5kcREptIC-71C_Y,Blanc,"52 rue de Longchamp, Paris, 75116, France"
ChIJA1n6SqJv5kcRjEMCcj0PbI4,Bloom Garden,"Bloom House, 23 rue du Château-Landon, Paris, 75010, France"
ChIJBeetLDRv5kcRqLSnz94ajQI,Bombance,"40 rue des Blancs-Manteaux, Paris, 75004, France"
ChIJXUEBSv1t5kcR4U9H31WExx8,Bon Kushikatsu,"24 rue Jean-Pierre-Timbaud, Paris, 75011, France"
ChIJY6JQnAxv5kcRCiWTvUORQhs,Bonhomme,"58 rue du Faubourg-Poissonnière, Paris, 75010, France"
ChIJ3ciEyNhx5kcRPVo1NKwoM2k,Boutary,"25 rue Mazarine, Paris, 75006, France"
ChIJ89FXLg9l5kcRoAswSVYTmHg,Brach,"1-7 rue Jean Richepin, Paris, 75016, France"
ChIJM7F_x-Nv5kcRz8dQrQXk3H0,Braise,"19 rue d'Anjou, Paris, 75008, France"
ChIJOz7If5hx5kcRJ27muAb4VHY,Brasserie Lutetia,"45 boulevard Raspail, Paris, 75006, France"
ChIJUZFuuSVu5kcRfY5Fd2TUlRQ,Brasserie du Louvre,"Place André-Malraux, Paris, 75001, France"
ChIJqyMQ-41v5kcR9u8DjdALXgs,Brigade du Tigre,"38 rue du Faubourg-Poissonnière, Paris, 75010, France"
ChIJAZdKRQBv5kcRYra1a9IvCL4,Brion,"17 rue Lamartine, Paris, 75009, France"
ChIJn_VFtt5v5kcRLkEqJanNEFQ,CO/DA,"15 rue de la Tour-des-Dames, Paris, 75009, France"
ChIJUzCAIjxu5kcR1aDGjpg9D1g,Caffè Stern,"47 passage des Panoramas, Paris, 75002, France"
ChIJm7G6N6xv5kcRLDH2ttwrhRs,Café Compagnon,"22-26 rue Léopold-Bellan, Paris, 75002, France"
ChIJ7ei1YNRv5kcRRf7j0QY-e2g,Café des Ministères,"83 rue de l'Université, Paris, 75007, France"
ChIJUSqtskBu5kcR_JyyYW56_lM,Caillebotte,"8 rue Hippolyte-Lebas, Paris, 75009, France"
ChIJO10I8fNx5kcR7yeytWDHa_o,Calice,"5 rue de Bazeilles, Paris, 75005, France"
ChIJKbov-Vxv5kcRK4hmgE5Kdbc,Campelli,"36 rue Croix-des-Petits-Champs, Paris, 75001, France"
ChIJCZ-gYhJx5kcRCVN1pLbpoQY,Capsule,"2 rue Cassini, Paris, 75014, France"
ChIJ31BAi5Nv5kcRcdw5fTkEJC8,Caves Pétrissans,"30 bis avenue Niel, Paris, 75017, France"
